"filename", "language", "Properties", "JSON", "JavaScript", "Markdown", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\players\players.component.ts", "TypeScript", 0, 0, 0, 0, 0, 161, 0, 0, 9, 24, 194
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\statistics\statistics.component.html", "HTML", 0, 0, 0, 0, 109, 0, 0, 0, 1, 6, 116
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\statistics\statistics.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 143, 0, 5, 21, 169
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\statistics\statistics.component.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 21, 82
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\team\team.component.html", "HTML", 0, 0, 0, 0, 88, 0, 0, 0, 24, 3, 115
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\team\team.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 247, 0, 1, 39, 287
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\team\team.component.ts", "TypeScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 15, 81
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\teams\teams.component.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\teams\teams.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 68, 0, 0, 9, 77
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\teams\teams.component.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 11, 58
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\assets\addEvent.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\assets\cup.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 1, 43
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\assets\news.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\assets\pencil.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 1, 1, 48
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\assets\player.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 85, 1, 1, 87
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\assets\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\assets\team.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\assets\trash.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 11, 3, 17
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\polyfills.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 55, 8, 64
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 51, 0, 2, 11, 64
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\test.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 4, 4, 21
"d:\Justo\BAKALAURAS\FutsalSystemFront\tsconfig.app.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Justo\BAKALAURAS\FutsalSystemFront\tsconfig.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\Justo\BAKALAURAS\FutsalSystemFront\tsconfig.spec.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Justo\BAKALAURAS\FutsalSystemFront\tslint.json", "JSON", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 91
"Total", "-", 10, 14912, 53, 14, 867, 2131, 2004, 214, 221, 789, 21215
